proLC3B,ProLC3B_S1,ProLC3B_S2,ProLC3B_S3,,LC3B II,LC3BII_S1,LC3BII_S2,LC3BII_S3,,LC3BII_p62,LC3BII_p62_S1,LC3BII_p62_S2,LC3BII_p62_S3
151000,0.4020892,0.3832961,0.3406908,,151000,0.3269813,0.2833829,0.2460492,,151000,0.1624872,0.3661564,0.1726692
152000,0.4147111,0.3934888,0.3347232,,152000,0.3261105,0.2770258,0.25102,,152000,0.1584267,0.3632422,0.176708
153000,0.4108122,0.4022528,0.3309649,,153000,0.3408869,0.278999,0.2505991,,153000,0.1638605,0.3518421,0.1789846
154000,0.4290636,0.3975952,0.3678379,,154000,0.3093694,0.2996652,0.27787,,154000,0.1634037,0.3585566,0.1811257
155000,0.4210958,0.4093438,0.3990891,,155000,0.3164484,0.2860222,0.2630984,,155000,0.1934118,0.3424232,0.1849543
156000,0.4019375,0.3947259,0.3568441,,156000,0.2981006,0.2828689,0.2964997,,156000,0.1721655,0.3734012,0.2094927
157000,0.3891245,0.3773807,0.3436233,,157000,0.3086361,0.2850139,0.2627486,,157000,0.1746961,0.35448,0.1901884
158000,0.4103308,0.3996809,0.352794,,158000,0.2911452,0.3034572,0.2373406,,158000,0.1750398,0.3493076,0.187434
159000,0.3970541,0.3825385,0.3703485,,159000,0.2946257,0.2987106,0.2515745,,159000,0.165696,0.3465319,0.1722429
160000,0.3812883,0.3864036,0.3666614,,160000,0.2934893,0.2965408,0.2599022,,160000,0.1617514,0.3352898,0.2013299
161000,0.3881136,0.3760753,0.3664679,,161000,0.3116571,0.2779509,0.2925504,,161000,0.1820564,0.3422643,0.1875739
162000,0.4010951,0.3752944,0.3733508,,162000,0.2995683,0.2843338,0.2820183,,162000,0.1722235,0.3261351,0.1970314
163000,0.3976313,0.380468,0.3796638,,163000,0.2830366,0.2868924,0.2949073,,163000,0.1784876,0.3474748,0.194231
164000,0.3926691,0.3780084,0.3965506,,164000,0.323478,0.2901905,0.2934905,,164000,0.1742284,0.356927,0.1791944
165000,0.3925979,0.3797641,0.3816674,,165000,0.3241925,0.2952823,0.2976315,,165000,0.1645653,0.3453826,0.1891578
166000,0.3980584,0.3922004,0.4200077,,166000,0.3125689,0.2810649,0.2581854,,166000,0.1615885,0.3705939,0.1987279
167000,0.4066754,0.4012069,0.4087815,,167000,0.3269973,0.2884624,0.2696112,,167000,0.1593202,0.3539392,0.1976432
168000,0.3963244,0.3896479,0.3841824,,168000,0.3270286,0.2746707,0.2847319,,168000,0.1633187,0.3422265,0.1925424
169000,0.4063048,0.3760274,0.3380656,,169000,0.3240381,0.2910557,0.2492451,,169000,0.1609279,0.3333692,0.1961627
170000,0.4052982,0.3734881,0.3890176,,170000,0.3028701,0.2859606,0.2732153,,170000,0.1739364,0.3551565,0.1885334
171000,0.4095386,0.3901652,0.3859357,,171000,0.2963614,0.2947976,0.2829849,,171000,0.1784513,0.3503111,0.1944234
172000,0.3988302,0.3710476,0.4154646,,172000,0.3102034,0.287971,0.2892495,,172000,0.1627986,0.360244,0.192732
173000,0.4097365,0.3893141,0.4047914,,173000,0.3165237,0.2960593,0.2868944,,173000,0.1611466,0.3414781,0.1828246
174000,0.3986883,0.3795695,0.3996453,,174000,0.3337124,0.2941435,0.2762864,,174000,0.1648051,0.3396265,0.1806102
175000,0.4099475,0.380128,0.4010301,,175000,0.3113565,0.2940451,0.2878771,,175000,0.1527623,0.3530215,0.1901573
176000,0.413451,0.3735711,0.4088011,,176000,0.3115838,0.2948793,0.2945676,,176000,0.1609177,0.3226694,0.1848301
177000,0.3947697,0.3664172,0.3685985,,177000,0.3248618,0.2862527,0.2960548,,177000,0.1739811,0.381809,0.193834
178000,0.410794,0.3896093,0.3560519,,178000,0.332365,0.28302,0.282831,,178000,0.1564611,0.3530339,0.1937729
179000,0.4016298,0.3730166,0.366073,,179000,0.2998016,0.291413,0.2870649,,179000,0.1679142,0.3401022,0.193783
180000,0.3985589,0.3799681,0.3412577,,180000,0.3316786,0.2906709,0.2889318,,180000,0.1737632,0.3560276,0.1884752
181000,0.4069249,0.3793684,0.3443418,,181000,0.3164586,0.2938378,0.2850479,,181000,0.1656427,0.3378237,0.1982755
182000,0.3980585,0.3752969,0.3488044,,182000,0.2974024,0.2875417,0.3033203,,182000,0.1629505,0.3531013,0.2012179
183000,0.4177792,0.3803563,0.3545067,,183000,0.2879389,0.2826171,0.3013712,,183000,0.1640972,0.3412293,0.1872244
184000,0.4012361,0.3899873,0.3483862,,184000,0.3130957,0.2907965,0.2941736,,184000,0.1596559,0.3334891,0.2024359
185000,0.4018703,0.4195565,0.354755,,185000,0.2892554,0.2962304,0.2895144,,185000,0.1607515,0.3495884,0.1957117
186000,0.4032788,0.3730031,0.3789238,,186000,0.3091594,0.296529,0.2811951,,186000,0.1620138,0.3978532,0.1932586
