,FRAME        , VOLUME (A^3) , SURF. A. (A^2),Time
921,921,55.25,32.375,0.04600000000000029
923,923,66.25,37.0,0.046100000000000294
925,925,78.625,42.625,0.046200000000000296
927,927,87.125,48.5,0.0463000000000003
929,929,74.0,42.25,0.0464000000000003
931,931,71.875,41.75,0.046500000000000305
933,933,72.0,40.875,0.04660000000000031
935,935,50.375,34.625,0.04670000000000031
937,937,76.125,42.0,0.046800000000000314
939,939,57.75,36.25,0.046900000000000316
941,941,68.0,41.75,0.04700000000000032
943,943,73.375,37.625,0.04710000000000032
945,945,83.125,43.875,0.047200000000000325
947,947,78.25,40.875,0.04730000000000033
949,949,60.0,37.0,0.04740000000000033
951,951,82.5,43.5,0.047500000000000334
953,953,82.375,40.25,0.047600000000000336
955,955,76.0,42.375,0.04770000000000034
957,957,87.125,48.625,0.04780000000000034
959,959,66.0,40.125,0.047900000000000345
961,961,86.75,39.75,0.04800000000000035
963,963,76.375,42.25,0.04810000000000035
965,965,91.625,47.875,0.048200000000000354
967,967,69.75,43.5,0.04830000000000036
969,969,76.0,43.0,0.04840000000000036
971,971,85.5,44.25,0.04850000000000036
973,973,73.375,48.0,0.048600000000000365
975,975,64.75,45.75,0.04870000000000037
977,977,75.0,45.375,0.04880000000000037
979,979,76.375,47.25,0.048900000000000374
981,981,61.875,43.125,0.04900000000000038
983,983,83.125,45.125,0.04910000000000038
985,985,106.5,50.5,0.04920000000000038
987,987,101.0,49.125,0.049300000000000385
989,989,80.375,40.625,0.04940000000000039
991,991,99.875,48.5,0.04950000000000039
993,993,87.5,43.0,0.049600000000000394
995,995,85.375,45.375,0.0497000000000004
997,997,71.875,41.25,0.0498000000000004
999,999,72.5,42.125,0.0499000000000004
1001,1001,90.875,45.5,0.050000000000000405
1003,1003,85.375,42.875,0.05010000000000041
1005,1005,74.5,41.875,0.05020000000000041
1007,1007,78.75,41.625,0.050300000000000414
1009,1009,73.625,43.375,0.05040000000000042
1011,1011,78.0,43.375,0.05050000000000042
1013,1013,81.125,40.375,0.05060000000000042
1015,1015,80.875,41.0,0.050700000000000425
1017,1017,88.5,48.5,0.05080000000000043
1019,1019,85.625,46.5,0.05090000000000043
1021,1021,66.0,37.875,0.051000000000000434
1023,1023,68.25,37.875,0.05110000000000044
1025,1025,90.125,43.125,0.05120000000000044
1027,1027,76.0,45.375,0.05130000000000044
1029,1029,75.0,37.5,0.051400000000000445
1031,1031,96.25,54.125,0.05150000000000045
1033,1033,70.375,38.625,0.05160000000000045
1035,1035,71.125,39.25,0.051700000000000454
1037,1037,85.125,45.5,0.05180000000000046
1039,1039,74.5,46.625,0.05190000000000046
1041,1041,92.875,51.0,0.05200000000000046
1043,1043,108.25,55.5,0.052100000000000465
1045,1045,80.875,42.5,0.05220000000000047
1047,1047,64.75,38.5,0.05230000000000047
1049,1049,81.375,41.25,0.052400000000000474
1051,1051,77.125,38.375,0.05250000000000048
1053,1053,82.125,42.75,0.05260000000000048
1055,1055,97.75,44.75,0.05270000000000048
1057,1057,92.125,43.5,0.052800000000000485
1059,1059,79.5,38.25,0.05290000000000049
1061,1061,67.625,41.125,0.05300000000000049
1063,1063,72.75,40.625,0.053100000000000494
1065,1065,76.375,42.5,0.0532000000000005
1067,1067,57.375,38.5,0.0533000000000005
1069,1069,72.375,40.5,0.0534000000000005
1071,1071,60.5,38.625,0.053500000000000505
1073,1073,84.5,44.5,0.05360000000000051
1075,1075,85.75,44.875,0.05370000000000051
1077,1077,70.875,45.75,0.053800000000000514
1079,1079,79.25,43.5,0.05390000000000052
1081,1081,64.625,39.375,0.05400000000000052
1083,1083,59.25,38.5,0.05410000000000052
1085,1085,70.625,37.625,0.054200000000000526
1087,1087,91.875,47.125,0.05430000000000053
1089,1089,64.375,42.375,0.05440000000000053
1091,1091,97.375,47.75,0.054500000000000534
1093,1093,85.5,44.375,0.05460000000000054
1095,1095,88.25,46.125,0.05470000000000054
1097,1097,72.75,43.125,0.05480000000000054
1099,1099,82.625,45.625,0.054900000000000546
1101,1101,84.125,47.75,0.05500000000000055
1103,1103,82.375,43.0,0.05510000000000055
1105,1105,84.875,49.75,0.055200000000000554
1107,1107,55.25,35.5,0.05530000000000056
1109,1109,72.25,44.875,0.05540000000000056
1111,1111,78.0,49.0,0.05550000000000056
1113,1113,61.875,36.125,0.055600000000000566
1115,1115,69.375,41.375,0.05570000000000057
1117,1117,74.375,47.75,0.05580000000000057
1119,1119,68.5,41.375,0.055900000000000574
1121,1121,84.5,43.0,0.05600000000000058
1123,1123,104.625,51.625,0.05610000000000058
1125,1125,66.625,40.125,0.05620000000000058
1127,1127,76.5,41.625,0.056300000000000586
1129,1129,79.125,50.0,0.05640000000000059
1131,1131,80.125,54.25,0.05650000000000059
1133,1133,74.625,43.25,0.056600000000000594
1135,1135,82.625,41.25,0.0567000000000006
1137,1137,91.625,45.625,0.0568000000000006
1139,1139,95.75,55.875,0.0569000000000006
1141,1141,85.25,49.75,0.057000000000000606
1143,1143,74.75,45.5,0.05710000000000061
1145,1145,72.375,40.5,0.05720000000000061
1147,1147,72.875,43.5,0.057300000000000614
1149,1149,72.125,38.875,0.05740000000000062
1151,1151,80.25,43.875,0.05750000000000062
1153,1153,83.25,47.25,0.05760000000000062
1155,1155,73.25,45.125,0.057700000000000626
1157,1157,63.0,50.5,0.05780000000000063
1159,1159,74.75,46.5,0.05790000000000063
1161,1161,72.625,40.5,0.058000000000000634
1163,1163,84.75,41.625,0.05810000000000064
1165,1165,78.125,38.875,0.05820000000000064
1167,1167,76.375,42.125,0.05830000000000064
1169,1169,69.0,38.5,0.058400000000000646
1171,1171,74.5,41.0,0.05850000000000065
1173,1173,88.125,42.0,0.05860000000000065
1175,1175,59.5,36.375,0.058700000000000654
1177,1177,72.5,39.125,0.05880000000000066
1179,1179,65.875,45.875,0.05890000000000066
1181,1181,76.5,40.625,0.05900000000000066
1183,1183,72.5,39.125,0.059100000000000666
1185,1185,53.375,46.0,0.05920000000000067
1187,1187,49.25,37.625,0.05930000000000067
1189,1189,65.5,38.375,0.059400000000000674
1191,1191,83.25,47.75,0.05950000000000068
1193,1193,67.25,40.25,0.05960000000000068
1195,1195,63.5,37.625,0.05970000000000068
1197,1197,99.125,48.125,0.059800000000000686
1199,1199,63.75,40.375,0.05990000000000069
1201,1201,75.125,43.125,0.06000000000000069
1203,1203,64.625,40.0,0.060100000000000695
1205,1205,68.875,39.5,0.0602000000000007
1207,1207,77.625,43.875,0.0603000000000007
1209,1209,72.5,44.125,0.0604000000000007
1211,1211,52.25,32.875,0.060500000000000706
1213,1213,67.625,42.5,0.06060000000000071
1215,1215,60.5,37.125,0.06070000000000071
1217,1217,75.125,40.25,0.060800000000000715
1219,1219,75.75,42.5,0.06090000000000072
1221,1221,78.75,40.5,0.06100000000000072
1223,1223,70.5,40.5,0.06110000000000072
1225,1225,94.75,55.5,0.061200000000000726
1227,1227,83.5,47.0,0.06130000000000073
1229,1229,93.125,47.125,0.06140000000000073
1231,1231,90.625,44.0,0.061500000000000735
1233,1233,87.125,46.0,0.06160000000000074
1235,1235,91.875,48.625,0.06170000000000074
1237,1237,67.75,43.25,0.06180000000000074
1239,1239,57.625,37.5,0.061900000000000746
1241,1241,58.375,36.25,0.06200000000000075
1243,1243,69.625,43.625,0.06210000000000075
1245,1245,87.25,44.5,0.062200000000000755
1247,1247,75.25,42.875,0.06230000000000076
1249,1249,63.625,36.25,0.06240000000000076
1251,1251,80.0,39.5,0.06250000000000076
1253,1253,73.375,41.0,0.06260000000000077
1255,1255,66.625,40.5,0.06270000000000077
1257,1257,74.0,39.75,0.06280000000000077
1259,1259,59.125,35.625,0.06290000000000077
1261,1261,76.875,37.625,0.06300000000000078
1263,1263,61.75,45.125,0.06310000000000078
1265,1265,84.0,46.625,0.06320000000000078
1267,1267,81.0,47.5,0.06330000000000079
1269,1269,77.375,40.75,0.06340000000000079
1271,1271,97.5,48.625,0.06350000000000079
1273,1273,69.0,37.875,0.0636000000000008
1275,1275,68.0,39.375,0.0637000000000008
1277,1277,77.5,41.625,0.0638000000000008
1279,1279,78.75,49.5,0.0639000000000008
1281,1281,66.125,40.75,0.0640000000000008
1283,1283,87.25,42.25,0.06410000000000081
1285,1285,76.25,44.5,0.06420000000000081
1287,1287,69.625,37.375,0.06430000000000081
1289,1289,71.625,45.0,0.06440000000000082
1291,1291,65.25,38.125,0.06450000000000082
1293,1293,60.625,40.875,0.06460000000000082
1295,1295,72.5,42.75,0.06470000000000083
